id,arrival_time,service_time,waiting_time,departure_time,time_in_system
0,0.0,5.3078204167244705,0.0,5.3078204167244705,5.3078204167244705
1,6.43670871285378,4.12763563908768,0.0,10.564344351941461,4.127635639087681
2,12.46378009290408,5.342814853157861,0.0,17.806594946061942,5.342814853157861
3,14.544803162870881,1.4484358386690297,3.261791783191061,19.255030784730973,4.710227621860092
4,17.721236394284023,4.445043921878624,1.5337943904469498,23.7000747066096,5.978838312325575
5,18.94722610828004,1.3777392823182009,4.752848598329557,25.0778139889278,6.130587880647759
6,21.59733370529876,5.573771997377286,3.480480283629042,30.651585986305086,9.054252281006328
7,26.132992876142566,1.3627995795938421,4.51859311016252,32.01438556589893,5.88139268975636
8,33.93012213845718,3.1908737240080955,0.0,37.12099586246527,3.1908737240080924
9,39.87149838252141,2.372112931834693,0.0,42.2436113143561,2.3721129318346925
10,42.110847519630376,5.794179127705624,0.13276379472572586,48.03779044206173,5.926942922431351
11,45.50765111633043,1.754560070043258,2.530139325731298,49.79235051210499,4.28469939577456
12,47.66307462282698,5.814279603630761,2.1292758892780057,55.60663011573575,7.943555492908764
13,54.40635624618107,3.8491547856110584,1.2002738695546782,59.4557849013468,5.049428655165734
14,59.64954671387556,5.832217508483939,0.0,65.4817642223595,5.832217508483943
15,60.7246569658402,4.865799851504798,4.757107256519305,70.3475640738643,9.622907108024108
16,67.66326626905514,1.0781685932569698,2.6842978048091624,71.42573266712128,3.762466398066138
17,71.8474000700776,1.0979561947408836,0.0,72.94535626481849,1.0979561947408882
18,79.61980545043733,1.8120122635493854,0.0,81.43181771398672,1.8120122635493914
19,85.51279662023376,3.8444352354870786,0.0,89.35723185572084,3.844435235487083
20,87.99218240367,1.03393255155697,1.3650494520508403,90.39116440727781,2.398982003607813
21,94.11893405065679,3.0129617463168636,0.0,97.13189579697365,3.0129617463168614
22,99.16762007906422,2.7277806631273895,0.0,101.89540074219161,2.7277806631273904
23,100.68905597261487,3.751310541954707,1.206344769576745,105.64671128414632,4.957655311531454
24,107.84698784937405,4.927673693433103,0.0,112.77466154280715,4.927673693433107
25,115.01961430341612,1.9810525985038099,0.0,117.00066690191993,1.9810525985038083
26,119.44761765146987,2.4252418703975227,0.0,121.8728595218674,2.425241870397528
27,124.73615042197335,3.7499912092292256,0.0,128.48614163120257,3.749991209229222
28,126.12044539881461,2.264662122646781,2.365696232387961,130.75080375384934,4.63035835503473
29,130.74865565543806,1.741461033508689,0.0021480984112827173,132.49226478735804,1.7436091319199818
30,135.87105852952297,4.27253204372701,0.0,140.14359057324998,4.272532043727011
31,136.9685979437272,4.983681380929029,3.174992629522791,145.127271954179,8.158674010451819
32,142.79419944913087,3.436712927580167,2.3330725050481362,148.56398488175918,5.769785432628311
33,147.64639995227716,2.1802698228616224,0.9175849294820182,150.7442547046208,3.097854752343636
34,154.5245452205614,2.589784613548813,0.0,157.1143298341102,2.589784613548801
35,157.5280937314668,3.9479023496874417,0.0,161.47599608115425,3.947902349687439
36,162.7229864199779,4.46438627377063,0.0,167.18737269374853,4.464386273770629
37,166.98551499248757,4.088171596716247,0.20185770126096259,171.27554429046478,4.290029297977213
38,172.14434656053132,2.95890405804957,0.0,175.1032506185809,2.958904058049569
39,176.29367147228652,3.9036664371701604,0.0,180.19733790945668,3.903666437170159
40,181.68678900838637,1.776238636612946,0.0,183.46302764499933,1.776238636612959
41,182.78108392179738,3.9081641871765247,0.6819437232019538,187.37119183217587,4.590107910378492
42,188.30746064517365,1.34861431590069,0.0,189.65607496107435,1.3486143159007042
43,196.28594590728017,4.370785417097969,0.0,200.65673132437814,4.370785417097977
44,200.7845515541755,5.771217085157122,0.0,206.55576863933263,5.771217085157133
45,207.84298938772685,1.3392441208531576,0.0,209.18223350858,1.3392441208531523
46,213.30816547344838,1.4513915935981916,0.0,214.7595570670466,1.4513915935982027
47,216.87837525787472,2.0473109062792627,0.0,218.92568616415397,2.0473109062792503
48,219.03389863949823,4.406112014527018,0.0,223.44001065402526,4.406112014527025
49,222.31748205194674,3.863908278708211,1.1225286020785177,227.30391893273347,4.9864368807867265
50,227.94543275820445,1.5605923290284098,0.0,229.50602508723287,1.5605923290284238
51,235.81544697966638,4.068490266786805,0.0,239.88393724645317,4.068490266786796
52,240.85819386075556,5.810873077061594,0.0,246.66906693781715,5.810873077061586
53,247.47652069714752,1.3134802236219991,0.0,248.79000092076953,1.3134802236220082
54,251.0587588306875,3.4891544644246713,0.0,254.54791329511218,3.489154464424672
55,252.8285672165188,2.4236241062990604,1.7193460785933894,256.97153740141124,4.142970184892448
56,259.6633884906921,4.909607936611426,0.0,264.57299642730356,4.909607936611451
57,267.4172067961807,3.9988338066928155,0.0,271.4160406028735,3.998833806692801
58,274.5617208182758,5.422967060366817,0.0,279.9846878786426,5.42296706036683
59,280.2097446922063,4.808267209003169,0.0,285.0180119012095,4.808267209003191
60,285.73800928539947,4.578900381639938,0.0,290.3169096670394,4.578900381639926
61,292.85504563918266,3.219734341669573,0.0,296.0747799808522,3.2197343416695503
62,298.5859061599172,2.2943404826858624,0.0,300.8802466426031,2.294340482685868
63,305.591189589717,5.769802766050494,0.0,311.36099235576745,5.769802766050475
64,308.5037492584325,5.239973931941846,2.8572430973349583,316.6009662877093,8.097217029276806
65,309.9212540731103,3.394913549464857,6.6797122145990215,319.99587983717413,10.074625764063853
66,314.2786611680133,5.18451617394561,5.717218669160843,325.18039601111974,10.901734843106453
67,316.36850033021864,5.825448620220245,8.811895680901102,331.00584463134,14.637344301121345
